Sample.ID,Study.ID,DOI.primary,DOI.secondary,LeadAuthor.primary,LeadAuthor.secondary,PublicationYear,Country,Region,SiteName,Block.Rep,GPS.Lat,GPS.Long,Study.context,SampleDepth.min,SampleDepth.max,Clay.pct,Silt.pct,Sand.pct,TexturalClass,Soil.pH,CEC,SOC.pct,Soil.TotalCd,TotalCd.method,Soil.AvailCd1,Soil.AvailCd1.method,Soil.AvailCd2,Soil.AvailCd2.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.Cd.type,WholeBeanCd,NibCd,ShellCd,LeafCd,AvailCd.N,AvailCd.SD,TotalCd.N,TotalCd.SD,WholeBeanCd.N,WholeBeanCd.SD,Subset,Soil.Cd.YN,Bean.Cd.YN,LeafBeaf.Cd.YN
301,2,https://doi.org/10.1016/j.scitotenv.2018.08.563,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,73,b,,,Field study,0,15,,,,,6.02,16.96,2.12,1.09,Aqua regia,,,,,,,,,,,,,Acid,0.99,,,,,,,,,,Soil and bean,Y,Y,
302,2,https://doi.org/10.1016/j.scitotenv.2018.08.564,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,73,c,,,Field study,0,15,,,,,6.18,18.83,2.62,1.23,Aqua regia,,,,,,,,,,,,,Acid,0.65,,,,,,,,,,Soil and bean,Y,Y,
303,2,https://doi.org/10.1016/j.scitotenv.2018.08.565,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,74,a,,,Field study,0,15,,,,,5.33,27.1,1.27,0.18,Aqua regia,,,,,,,,,,,,,Acid,0.19,,,,,,,,,,Soil and bean,Y,Y,
304,2,https://doi.org/10.1016/j.scitotenv.2018.08.566,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,74,b,,,Field study,0,15,,,,,5.4,18.55,2.16,0.34,Aqua regia,,,,,,,,,,,,,Acid,0.31,,,,,,,,,,Soil and bean,Y,Y,
305,2,https://doi.org/10.1016/j.scitotenv.2018.08.567,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,74,c,,,Field study,0,15,,,,,5.4,20.63,2.17,0.4,Aqua regia,,,,,,,,,,,,,Acid,0.4,,,,,,,,,,Soil and bean,Y,Y,
306,2,https://doi.org/10.1016/j.scitotenv.2018.08.568,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,74,d,,,Field study,0,15,,,,,5.31,18.83,1.94,0.47,Aqua regia,,,,,,,,,,,,,Acid,0.48,,,,,,,,,,Soil and bean,Y,Y,
307,2,https://doi.org/10.1016/j.scitotenv.2018.08.569,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,74,e,,,Field study,0,15,,,,,5.37,20.36,2.1,0.41,Aqua regia,,,,,,,,,,,,,Acid,0.36,,,,,,,,,,Soil and bean,Y,Y,
308,2,https://doi.org/10.1016/j.scitotenv.2018.08.570,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,75,a,,,Field study,0,15,,,,,5.68,13.64,0.92,0.1,Aqua regia,,,,,,,,,,,,,Acid,0.21,,,,,,,,,,Soil and bean,Y,Y,
309,2,https://doi.org/10.1016/j.scitotenv.2018.08.571,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,75,b,,,Field study,0,15,,,,,6.17,19.61,1.16,0.16,Aqua regia,,,,,,,,,,,,,Acid,0.12,,,,,,,,,,Soil and bean,Y,Y,
310,2,https://doi.org/10.1016/j.scitotenv.2018.08.572,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,75,c,,,Field study,0,15,,,,,6.24,14.55,0.71,0.11,Aqua regia,,,,,,,,,,,,,Acid,0.07,,,,,,,,,,Soil and bean,Y,Y,
311,2,https://doi.org/10.1016/j.scitotenv.2018.08.573,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,76,a,,,Field study,0,15,,,,,6.16,23.1,1.5,0.24,Aqua regia,,,,,,,,,,,,,Acid,0.27,,,,,,,,,,Soil and bean,Y,Y,
312,2,https://doi.org/10.1016/j.scitotenv.2018.08.574,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,76,b,,,Field study,0,15,,,,,6.25,25.48,1.89,0.24,Aqua regia,,,,,,,,,,,,,Acid,0.3,,,,,,,,,,Soil and bean,Y,Y,
313,2,https://doi.org/10.1016/j.scitotenv.2018.08.575,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,76,c,,,Field study,0,15,,,,,6.32,25.57,2.37,0.24,Aqua regia,,,,,,,,,,,,,Acid,0.29,,,,,,,,,,Soil and bean,Y,Y,
314,2,https://doi.org/10.1016/j.scitotenv.2018.08.576,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,76,d,,,Field study,0,15,,,,,6.26,22.05,1.34,0.21,Aqua regia,,,,,,,,,,,,,Acid,0.17,,,,,,,,,,Soil and bean,Y,Y,
315,2,https://doi.org/10.1016/j.scitotenv.2018.08.577,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,76,e,,,Field study,0,15,,,,,6.24,17.84,1.05,0.19,Aqua regia,,,,,,,,,,,,,Acid,0.15,,,,,,,,,,Soil and bean,Y,Y,
316,2,https://doi.org/10.1016/j.scitotenv.2018.08.578,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,77,a,,,Field study,0,15,,,,,6.23,18.14,1.3,1.07,Aqua regia,,,,,,,,,,,,,Acid,8.61,,,,,,,,,,Soil and bean,Y,Y,
317,2,https://doi.org/10.1016/j.scitotenv.2018.08.579,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,77,b,,,Field study,0,15,,,,,5.25,18.27,1.32,1.61,Aqua regia,,,,,,,,,,,,,Acid,10.39,,,,,,,,,,Soil and bean,Y,Y,
318,2,https://doi.org/10.1016/j.scitotenv.2018.08.580,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,77,c,,,Field study,0,15,,,,,4.83,16.37,1.56,0.89,Aqua regia,,,,,,,,,,,,,Acid,7.83,,,,,,,,,,Soil and bean,Y,Y,
319,2,https://doi.org/10.1016/j.scitotenv.2018.08.581,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,77,d,,,Field study,0,15,,,,,5.14,19.59,2.08,2.15,Aqua regia,,,,,,,,,,,,,Acid,8.37,,,,,,,,,,Soil and bean,Y,Y,
320,2,https://doi.org/10.1016/j.scitotenv.2018.08.582,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,77,e,,,Field study,0,15,,,,,4.91,17.01,1.65,1.05,Aqua regia,,,,,,,,,,,,,Acid,5.28,,,,,,,,,,Soil and bean,Y,Y,
321,2,https://doi.org/10.1016/j.scitotenv.2018.08.583,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,77,f,,,Field study,0,15,,,,,4.86,15.65,1.44,1.18,Aqua regia,,,,,,,,,,,,,Acid,6.64,,,,,,,,,,Soil and bean,Y,Y,
322,2,https://doi.org/10.1016/j.scitotenv.2018.08.584,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,78,a,,,Field study,0,15,,,,,5.41,7.22,3.65,0.32,Aqua regia,,,,,,,,,,,,,Acid,1,,,,,,,,,,Soil and bean,Y,Y,
323,2,https://doi.org/10.1016/j.scitotenv.2018.08.585,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,78,b,,,Field study,0,15,,,,,5.62,6.95,4.1,0.33,Aqua regia,,,,,,,,,,,,,Acid,1.32,,,,,,,,,,Soil and bean,Y,Y,
324,2,https://doi.org/10.1016/j.scitotenv.2018.08.586,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,78,c,,,Field study,0,15,,,,,5.54,8.51,3.86,0.52,Aqua regia,,,,,,,,,,,,,Acid,0.72,,,,,,,,,,Soil and bean,Y,Y,
325,2,https://doi.org/10.1016/j.scitotenv.2018.08.587,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,78,d,,,Field study,0,15,,,,,5.69,8.15,4.15,0.35,Aqua regia,,,,,,,,,,,,,Acid,0.98,,,,,,,,,,Soil and bean,Y,Y,
326,2,https://doi.org/10.1016/j.scitotenv.2018.08.588,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,78,e,,,Field study,0,15,,,,,5.47,18.81,4.56,0.46,Aqua regia,,,,,,,,,,,,,Acid,0.68,,,,,,,,,,Soil and bean,Y,Y,
327,2,https://doi.org/10.1016/j.scitotenv.2018.08.589,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,79,a,,,Field study,0,15,,,,,5.01,7.61,2.52,0.13,Aqua regia,,,,,,,,,,,,,Acid,0.43,,,,,,,,,,Soil and bean,Y,Y,
328,2,https://doi.org/10.1016/j.scitotenv.2018.08.590,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,79,b,,,Field study,0,15,,,,,4.94,2.91,4.14,0.24,Aqua regia,,,,,,,,,,,,,Acid,0.37,,,,,,,,,,Soil and bean,Y,Y,
329,2,https://doi.org/10.1016/j.scitotenv.2018.08.591,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,79,c,,,Field study,0,15,,,,,5.08,3.14,3.14,0.19,Aqua regia,,,,,,,,,,,,,Acid,0.43,,,,,,,,,,Soil and bean,Y,Y,
330,2,https://doi.org/10.1016/j.scitotenv.2018.08.592,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,80,a,,,Field study,0,15,,,,,4.53,5.88,2.3,0.05,Aqua regia,,,,,,,,,,,,,Acid,0.33,,,,,,,,,,Soil and bean,Y,Y,
331,2,https://doi.org/10.1016/j.scitotenv.2018.08.593,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,80,b,,,Field study,0,15,,,,,4.26,7.07,2.75,0.16,Aqua regia,,,,,,,,,,,,,Acid,1.08,,,,,,,,,,Soil and bean,Y,Y,
332,2,https://doi.org/10.1016/j.scitotenv.2018.08.594,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,81,a,,,Field study,0,15,,,,,5.31,5.52,3.35,0.41,Aqua regia,,,,,,,,,,,,,Acid,0.65,,,,,,,,,,Soil and bean,Y,Y,
333,2,https://doi.org/10.1016/j.scitotenv.2018.08.595,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,81,b,,,Field study,0,15,,,,,5.41,6.93,3.64,0.56,Aqua regia,,,,,,,,,,,,,Acid,1.7,,,,,,,,,,Soil and bean,Y,Y,
334,2,https://doi.org/10.1016/j.scitotenv.2018.08.596,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,82,a,,,Field study,0,15,,,,,5.7,16.99,3.46,0.8,Aqua regia,,,,,,,,,,,,,Acid,1.49,,,,,,,,,,Soil and bean,Y,Y,
335,2,https://doi.org/10.1016/j.scitotenv.2018.08.597,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,82,b,,,Field study,0,15,,,,,5.91,21.01,4.12,0.72,Aqua regia,,,,,,,,,,,,,Acid,1.66,,,,,,,,,,Soil and bean,Y,Y,
336,2,https://doi.org/10.1016/j.scitotenv.2018.08.598,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,82,c,,,Field study,0,15,,,,,5.94,9.31,2.69,0.48,Aqua regia,,,,,,,,,,,,,Acid,2.12,,,,,,,,,,Soil and bean,Y,Y,
337,2,https://doi.org/10.1016/j.scitotenv.2018.08.599,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,83,a,,,Field study,0,15,,,,,5.77,15.96,3.06,0.46,Aqua regia,,,,,,,,,,,,,Acid,1.35,,,,,,,,,,Soil and bean,Y,Y,
338,2,https://doi.org/10.1016/j.scitotenv.2018.08.600,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,83,b,,,Field study,0,15,,,,,5.99,11.21,3.84,1.07,Aqua regia,,,,,,,,,,,,,Acid,2.26,,,,,,,,,,Soil and bean,Y,Y,
339,2,https://doi.org/10.1016/j.scitotenv.2018.08.601,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,83,c,,,Field study,0,15,,,,,5.57,3.54,2.45,0.25,Aqua regia,,,,,,,,,,,,,Acid,0.99,,,,,,,,,,Soil and bean,Y,Y,
340,2,https://doi.org/10.1016/j.scitotenv.2018.08.602,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,84,a,,,Field study,0,15,,,,,5.81,7.3,2.89,0.47,Aqua regia,,,,,,,,,,,,,Acid,3.52,,,,,,,,,,Soil and bean,Y,Y,
341,2,https://doi.org/10.1016/j.scitotenv.2018.08.603,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,84,b,,,Field study,0,15,,,,,5.65,4.9,2.23,0.39,Aqua regia,,,,,,,,,,,,,Acid,1.68,,,,,,,,,,Soil and bean,Y,Y,
342,2,https://doi.org/10.1016/j.scitotenv.2018.08.604,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,84,c,,,Field study,0,15,,,,,5.54,4.64,3.34,0.31,Aqua regia,,,,,,,,,,,,,Acid,0.88,,,,,,,,,,Soil and bean,Y,Y,
343,2,https://doi.org/10.1016/j.scitotenv.2018.08.605,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,85,a,,,Field study,0,15,,,,,4.54,6.44,2.44,0.12,Aqua regia,,,,,,,,,,,,,Acid,0.53,,,,,,,,,,Soil and bean,Y,Y,
344,2,https://doi.org/10.1016/j.scitotenv.2018.08.606,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,85,b,,,Field study,0,15,,,,,4.94,5.9,2.59,0.19,Aqua regia,,,,,,,,,,,,,Acid,0.81,,,,,,,,,,Soil and bean,Y,Y,
345,2,https://doi.org/10.1016/j.scitotenv.2018.08.607,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,85,c,,,Field study,0,15,,,,,4.58,5.4,2.85,0.13,Aqua regia,,,,,,,,,,,,,Acid,0.95,,,,,,,,,,Soil and bean,Y,Y,
346,2,https://doi.org/10.1016/j.scitotenv.2018.08.608,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,86,a,,,Field study,0,15,,,,,5.1,5.84,2.97,0.54,Aqua regia,,,,,,,,,,,,,Acid,1.15,,,,,,,,,,Soil and bean,Y,Y,
347,2,https://doi.org/10.1016/j.scitotenv.2018.08.609,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,86,b,,,Field study,0,15,,,,,4.9,3.46,2.04,0.31,Aqua regia,,,,,,,,,,,,,Acid,1.69,,,,,,,,,,Soil and bean,Y,Y,
348,2,https://doi.org/10.1016/j.scitotenv.2018.08.610,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,87,a,,,Field study,0,15,,,,,5.27,8.95,2.73,0.72,Aqua regia,,,,,,,,,,,,,Acid,4.38,,,,,,,,,,Soil and bean,Y,Y,
349,2,https://doi.org/10.1016/j.scitotenv.2018.08.611,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,87,b,,,Field study,0,15,,,,,5.3,6.95,2.8,0.43,Aqua regia,,,,,,,,,,,,,Acid,3.67,,,,,,,,,,Soil and bean,Y,Y,
350,2,https://doi.org/10.1016/j.scitotenv.2018.08.612,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,88,a,,,Field study,0,15,,,,,5.53,14.62,5.47,0.14,Aqua regia,,,,,,,,,,,,,Acid,0.17,,,,,,,,,,Soil and bean,Y,Y,
351,2,https://doi.org/10.1016/j.scitotenv.2018.08.613,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,88,b,,,Field study,0,15,,,,,5.68,12.14,5.73,0.12,Aqua regia,,,,,,,,,,,,,Acid,0.12,,,,,,,,,,Soil and bean,Y,Y,
352,2,https://doi.org/10.1016/j.scitotenv.2018.08.614,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,88,c,,,Field study,0,15,,,,,5.7,12.27,5.73,0.13,Aqua regia,,,,,,,,,,,,,Acid,0.14,,,,,,,,,,Soil and bean,Y,Y,
353,2,https://doi.org/10.1016/j.scitotenv.2018.08.615,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,88,d,,,Field study,0,15,,,,,5.75,18.59,5.66,0.13,Aqua regia,,,,,,,,,,,,,Acid,0.13,,,,,,,,,,Soil and bean,Y,Y,
354,2,https://doi.org/10.1016/j.scitotenv.2018.08.616,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,89,a,,,Field study,0,15,,,,,5.23,7.86,3.13,0.09,Aqua regia,,,,,,,,,,,,,Acid,0.23,,,,,,,,,,Soil and bean,Y,Y,
355,2,https://doi.org/10.1016/j.scitotenv.2018.08.617,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,89,b,,,Field study,0,15,,,,,5.38,8.01,0.56,0.2,Aqua regia,,,,,,,,,,,,,Acid,0.47,,,,,,,,,,Soil and bean,Y,Y,
356,2,https://doi.org/10.1016/j.scitotenv.2018.08.618,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,89,c,,,Field study,0,15,,,,,5.39,18.08,1.45,0.18,Aqua regia,,,,,,,,,,,,,Acid,0.28,,,,,,,,,,Soil and bean,Y,Y,
357,2,https://doi.org/10.1016/j.scitotenv.2018.08.619,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,90,a,,,Field study,0,15,,,,,5.39,2.99,3.56,0.05,Aqua regia,,,,,,,,,,,,,Acid,0.07,,,,,,,,,,Soil and bean,Y,Y,
358,2,https://doi.org/10.1016/j.scitotenv.2018.08.620,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,90,b,,,Field study,0,15,,,,,5.27,3.55,3.87,0.09,Aqua regia,,,,,,,,,,,,,Acid,0.17,,,,,,,,,,Soil and bean,Y,Y,
359,2,https://doi.org/10.1016/j.scitotenv.2018.08.621,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,90,c,,,Field study,0,15,,,,,5.52,5.99,5,0.07,Aqua regia,,,,,,,,,,,,,Acid,0.08,,,,,,,,,,Soil and bean,Y,Y,
360,2,https://doi.org/10.1016/j.scitotenv.2018.08.622,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,91,a,,,Field study,0,15,,,,,4.92,1.63,5.75,0.03,Aqua regia,,,,,,,,,,,,,Acid,0.04,,,,,,,,,,Soil and bean,Y,Y,
361,2,https://doi.org/10.1016/j.scitotenv.2018.08.623,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,91,b,,,Field study,0,15,,,,,5.04,3.06,5.37,0.05,Aqua regia,,,,,,,,,,,,,Acid,0.03,,,,,,,,,,Soil and bean,Y,Y,
362,2,https://doi.org/10.1016/j.scitotenv.2018.08.624,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,91,c,,,Field study,0,15,,,,,4.9,3.45,7.26,0.05,Aqua regia,,,,,,,,,,,,,Acid,0.13,,,,,,,,,,Soil and bean,Y,Y,
363,2,https://doi.org/10.1016/j.scitotenv.2018.08.625,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,92,a,,,Field study,0,15,,,,,5.29,3.1,6.07,0.08,Aqua regia,,,,,,,,,,,,,Acid,0.27,,,,,,,,,,Soil and bean,Y,Y,
364,2,https://doi.org/10.1016/j.scitotenv.2018.08.626,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,92,b,,,Field study,0,15,,,,,5.25,2.12,5.76,0.09,Aqua regia,,,,,,,,,,,,,Acid,0.21,,,,,,,,,,Soil and bean,Y,Y,
365,2,https://doi.org/10.1016/j.scitotenv.2018.08.627,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,92,c,,,Field study,0,15,,,,,5.29,3.98,6.37,0.06,Aqua regia,,,,,,,,,,,,,Acid,0.09,,,,,,,,,,Soil and bean,Y,Y,
366,2,https://doi.org/10.1016/j.scitotenv.2018.08.628,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,93,a,,,Field study,0,15,,,,,5.84,12.09,3.29,0.14,Aqua regia,,,,,,,,,,,,,Acid,0.26,,,,,,,,,,Soil and bean,Y,Y,
367,2,https://doi.org/10.1016/j.scitotenv.2018.08.629,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,93,b,,,Field study,0,15,,,,,5.91,17.74,4.25,0.21,Aqua regia,,,,,,,,,,,,,Acid,0.47,,,,,,,,,,Soil and bean,Y,Y,
368,2,https://doi.org/10.1016/j.scitotenv.2018.08.630,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,93,c,,,Field study,0,15,,,,,6,12.61,2.48,0.19,Aqua regia,,,,,,,,,,,,,Acid,0.43,,,,,,,,,,Soil and bean,Y,Y,
369,2,https://doi.org/10.1016/j.scitotenv.2018.08.631,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,94,a,,,Field study,0,15,,,,,5.44,7.38,2.27,0.02,Aqua regia,,,,,,,,,,,,,Acid,0.31,,,,,,,,,,Soil and bean,Y,Y,
370,2,https://doi.org/10.1016/j.scitotenv.2018.08.632,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,94,b,,,Field study,0,15,,,,,5.87,8.83,2.33,0.15,Aqua regia,,,,,,,,,,,,,Acid,0.37,,,,,,,,,,Soil and bean,Y,Y,
371,2,https://doi.org/10.1016/j.scitotenv.2018.08.633,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,94,c,,,Field study,0,15,,,,,5.87,8.54,1.99,0.33,Aqua regia,,,,,,,,,,,,,Acid,1.14,,,,,,,,,,Soil and bean,Y,Y,
372,2,https://doi.org/10.1016/j.scitotenv.2018.08.634,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,95,a,,,Field study,0,15,,,,,6.02,9.76,2.05,0.27,Aqua regia,,,,,,,,,,,,,Acid,0.23,,,,,,,,,,Soil and bean,Y,Y,
373,2,https://doi.org/10.1016/j.scitotenv.2018.08.635,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,95,b,,,Field study,0,15,,,,,5.63,9.79,3.02,0.11,Aqua regia,,,,,,,,,,,,,Acid,0.2,,,,,,,,,,Soil and bean,Y,Y,
374,2,https://doi.org/10.1016/j.scitotenv.2018.08.636,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,95,c,,,Field study,0,15,,,,,6.03,16.12,3.17,0.18,Aqua regia,,,,,,,,,,,,,Acid,0.26,,,,,,,,,,Soil and bean,Y,Y,
375,2,https://doi.org/10.1016/j.scitotenv.2018.08.637,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,96,a,,,Field study,0,15,,,,,5.72,6.49,4.21,0.06,Aqua regia,,,,,,,,,,,,,Acid,0.15,,,,,,,,,,Soil and bean,Y,Y,
376,2,https://doi.org/10.1016/j.scitotenv.2018.08.638,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,96,b,,,Field study,0,15,,,,,5,5.63,3.63,0.09,Aqua regia,,,,,,,,,,,,,Acid,0.14,,,,,,,,,,Soil and bean,Y,Y,
377,2,https://doi.org/10.1016/j.scitotenv.2018.08.639,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,96,c,,,Field study,0,15,,,,,5.55,7.29,6.19,0.11,Aqua regia,,,,,,,,,,,,,Acid,0.05,,,,,,,,,,Soil and bean,Y,Y,
378,2,https://doi.org/10.1016/j.scitotenv.2018.08.640,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,97,a,,,Field study,0,15,,,,,5.86,7.01,4.43,0.11,Aqua regia,,,,,,,,,,,,,Acid,0.17,,,,,,,,,,Soil and bean,Y,Y,
379,2,https://doi.org/10.1016/j.scitotenv.2018.08.641,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,97,b,,,Field study,0,15,,,,,5.78,9.22,4.9,0.09,Aqua regia,,,,,,,,,,,,,Acid,0.07,,,,,,,,,,Soil and bean,Y,Y,
380,2,https://doi.org/10.1016/j.scitotenv.2018.08.642,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,97,c,,,Field study,0,15,,,,,5.87,6.83,4.43,0.1,Aqua regia,,,,,,,,,,,,,Acid,0.07,,,,,,,,,,Soil and bean,Y,Y,
381,2,https://doi.org/10.1016/j.scitotenv.2018.08.643,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,98,a,,,Field study,0,15,,,,,6.43,40.66,3.83,1.74,Aqua regia,,,,,,,,,,,,,Acid,1.75,,,,,,,,,,Soil and bean,Y,Y,
382,2,https://doi.org/10.1016/j.scitotenv.2018.08.644,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,98,b,,,Field study,0,15,,,,,5.9,45.57,2,0.26,Aqua regia,,,,,,,,,,,,,Acid,0.45,,,,,,,,,,Soil and bean,Y,Y,
383,2,https://doi.org/10.1016/j.scitotenv.2018.08.645,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,98,c,,,Field study,0,15,,,,,6.38,20.89,1.21,0.26,Aqua regia,,,,,,,,,,,,,Acid,0.43,,,,,,,,,,Soil and bean,Y,Y,
384,2,https://doi.org/10.1016/j.scitotenv.2018.08.646,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,99,a,,,Field study,0,15,,,,,6.29,27.25,1.7,0.66,Aqua regia,,,,,,,,,,,,,Acid,1.13,,,,,,,,,,Soil and bean,Y,Y,
385,2,https://doi.org/10.1016/j.scitotenv.2018.08.647,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,99,b,,,Field study,0,15,,,,,6.49,27.43,2.01,0.25,Aqua regia,,,,,,,,,,,,,Acid,0.85,,,,,,,,,,Soil and bean,Y,Y,
386,2,https://doi.org/10.1016/j.scitotenv.2018.08.648,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,100,a,,,Field study,0,15,,,,,6.5,29.02,2,0.53,Aqua regia,,,,,,,,,,,,,Acid,1.63,,,,,,,,,,Soil and bean,Y,Y,
387,2,https://doi.org/10.1016/j.scitotenv.2018.08.649,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,100,b,,,Field study,0,15,,,,,6.33,29.6,2.97,1.28,Aqua regia,,,,,,,,,,,,,Acid,2.84,,,,,,,,,,Soil and bean,Y,Y,
388,2,https://doi.org/10.1016/j.scitotenv.2018.08.650,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,100,c,,,Field study,0,15,,,,,6.86,36.34,3.1,1.02,Aqua regia,,,,,,,,,,,,,Acid,1.6,,,,,,,,,,Soil and bean,Y,Y,
389,2,https://doi.org/10.1016/j.scitotenv.2018.08.651,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,101,a,,,Field study,0,15,,,,,6.21,29.72,0.19,0.91,Aqua regia,,,,,,,,,,,,,Acid,5.12,,,,,,,,,,Soil and bean,Y,Y,
390,2,https://doi.org/10.1016/j.scitotenv.2018.08.652,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,101,b,,,Field study,0,15,,,,,6.8,37.37,2.07,1.06,Aqua regia,,,,,,,,,,,,,Acid,3.23,,,,,,,,,,Soil and bean,Y,Y,
391,2,https://doi.org/10.1016/j.scitotenv.2018.08.653,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,101,c,,,Field study,0,15,,,,,6.57,41.24,3.13,2.64,Aqua regia,,,,,,,,,,,,,Acid,4.86,,,,,,,,,,Soil and bean,Y,Y,
