Sample.ID,Study.ID,DOI.primary,DOI.secondary,LeadAuthor.primary,LeadAuthor.secondary,PublicationYear,Country,Region,SiteName,Block.Rep,GPS.Lat,GPS.Long,Study.context,SampleDepth.min,SampleDepth.max,Clay.pct,Silt.pct,Sand.pct,TexturalClass,Soil.pH,CEC,SOC.pct,Soil.TotalCd,TotalCd.method,Soil.AvailCd1,Soil.AvailCd1.method,Soil.AvailCd2,Soil.AvailCd2.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.AvailCd3,Soil.AvailCd3.method,Soil.Cd.type,WholeBeanCd,NibCd,ShellCd,LeafCd,AvailCd.N,AvailCd.SD,TotalCd.N,TotalCd.SD,WholeBeanCd.N,WholeBeanCd.SD,Subset,Soil.Cd.YN,Bean.Cd.YN,LeafBeaf.Cd.YN
17,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,17,,-9.29527778,-75.9975,Field study,0,20,,,,,4.5,,,0.04,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0,,,Soil only,Y,,
18,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,18,,-9.29527778,-75.9975,Field study,0,20,,,,,4.26,,,0.05,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.02,,,Soil only,Y,,
19,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,19,,-9.29527778,-75.9975,Field study,0,20,,,,,5.18,,,0.14,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.08,,,Soil only,Y,,
20,1,https://doi.org/10.1007/s11270-019-4109-x,,Katharina Laila Marie Zug,Hugo Alfredo Huamaní Yupanqui,2019,Peru,Huanuco Region,20,,-9.29527778,-75.9975,Field study,0,20,,,,,5.23,,,0.38,HNO3 and H2O2,,,,,,,,,,,,,Acid,,,,,,,4,0.22,,,Soil only,Y,,
21,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,1,a,,,Field study,0,15,,,,,6.55,24.43,2.26,0.23,Aqua regia,,,,,,,,,,,,,Acid,0.1,,,,,,,,,,Soil and bean,Y,Y,
22,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,1,b,,,Field study,0,15,,,,,7.08,27.83,3.2,0.19,Aqua regia,,,,,,,,,,,,,Acid,0.21,,,,,,,,,,Soil and bean,Y,Y,
23,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,1,c,,,Field study,0,15,,,,,,,0,,Aqua regia,,,,,,,,,,,,,Acid,,,,,,,,,,,Soil only,Y,,
24,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,2,a,,,Field study,0,15,,,,,6.88,32.76,3.35,0.44,Aqua regia,,,,,,,,,,,,,Acid,0.21,,,,,,,,,,Soil and bean,Y,Y,
25,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,2,b,,,Field study,0,15,,,,,,,0,,Aqua regia,,,,,,,,,,,,,Acid,,,,,,,,,,,Soil only,Y,,
26,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,2,c,,,Field study,0,15,,,,,,,0,,Aqua regia,,,,,,,,,,,,,Acid,,,,,,,,,,,Soil only,Y,,
27,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,3,a,,,Field study,0,15,,,,,6.11,22.77,1.58,0.3,Aqua regia,,,,,,,,,,,,,Acid,0.57,,,,,,,,,,Soil and bean,Y,Y,
28,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,3,b,,,Field study,0,15,,,,,6.25,24.72,1.57,0.35,Aqua regia,,,,,,,,,,,,,Acid,0.37,,,,,,,,,,Soil and bean,Y,Y,
29,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,3,c,,,Field study,0,15,,,,,6.31,26.35,1.61,0.29,Aqua regia,,,,,,,,,,,,,Acid,0.46,,,,,,,,,,Soil and bean,Y,Y,
30,2,https://doi.org/10.1016/j.scitotenv.2018.08.292,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,a,,,Field study,0,15,,,,,6.41,16.17,1.8,0.8,Aqua regia,,,,,,,,,,,,,Acid,1.61,,,,,,,,,,Soil and bean,Y,Y,
31,2,https://doi.org/10.1016/j.scitotenv.2018.08.293,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,b,,,Field study,0,15,,,,,6.32,13.4,2.16,1.29,Aqua regia,,,,,,,,,,,,,Acid,1.97,,,,,,,,,,Soil and bean,Y,Y,
32,2,https://doi.org/10.1016/j.scitotenv.2018.08.294,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,c,,,Field study,0,15,,,,,5.99,11.66,1.35,0.58,Aqua regia,,,,,,,,,,,,,Acid,1.64,,,,,,,,,,Soil and bean,Y,Y,
33,2,https://doi.org/10.1016/j.scitotenv.2018.08.295,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,d,,,Field study,0,15,,,,,6.07,13.3,1.93,0.81,Aqua regia,,,,,,,,,,,,,Acid,1.57,,,,,,,,,,Soil and bean,Y,Y,
34,2,https://doi.org/10.1016/j.scitotenv.2018.08.296,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,e,,,Field study,0,15,,,,,6.08,19.51,2.19,0.46,Aqua regia,,,,,,,,,,,,,Acid,1.2,,,,,,,,,,Soil and bean,Y,Y,
35,2,https://doi.org/10.1016/j.scitotenv.2018.08.297,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,f,,,Field study,0,15,,,,,6.04,16.87,1.41,0.54,Aqua regia,,,,,,,,,,,,,Acid,1.11,,,,,,,,,,Soil and bean,Y,Y,
36,2,https://doi.org/10.1016/j.scitotenv.2018.08.298,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,g,,,Field study,0,15,,,,,5.19,13.97,1.1,0.23,Aqua regia,,,,,,,,,,,,,Acid,1.23,,,,,,,,,,Soil and bean,Y,Y,
37,2,https://doi.org/10.1016/j.scitotenv.2018.08.299,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,4,h,,,Field study,0,15,,,,,5.65,15.24,1.66,0.41,Aqua regia,,,,,,,,,,,,,Acid,0.89,,,,,,,,,,Soil and bean,Y,Y,
38,2,https://doi.org/10.1016/j.scitotenv.2018.08.300,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,5,a,,,Field study,0,15,,,,,5.7,12.44,1.79,0.51,Aqua regia,,,,,,,,,,,,,Acid,0.61,,,,,,,,,,Soil and bean,Y,Y,
39,2,https://doi.org/10.1016/j.scitotenv.2018.08.301,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,5,b,,,Field study,0,15,,,,,6.17,20.76,1.92,0.45,Aqua regia,,,,,,,,,,,,,Acid,0.65,,,,,,,,,,Soil and bean,Y,Y,
40,2,https://doi.org/10.1016/j.scitotenv.2018.08.302,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,5,c,,,Field study,0,15,,,,,5.16,20.16,2.41,0.69,Aqua regia,,,,,,,,,,,,,Acid,6.24,,,,,,,,,,Soil and bean,Y,Y,
41,2,https://doi.org/10.1016/j.scitotenv.2018.08.303,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,5,d,,,Field study,0,15,,,,,4.95,19.46,2.34,0.46,Aqua regia,,,,,,,,,,,,,Acid,4.18,,,,,,,,,,Soil and bean,Y,Y,
42,2,https://doi.org/10.1016/j.scitotenv.2018.08.304,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,6,a,,,Field study,0,15,,,,,7.15,14.27,0.66,0.41,Aqua regia,,,,,,,,,,,,,Acid,1.13,,,,,,,,,,Soil and bean,Y,Y,
43,2,https://doi.org/10.1016/j.scitotenv.2018.08.305,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,6,b,,,Field study,0,15,,,,,,,0,,Aqua regia,,,,,,,,,,,,,Acid,,,,,,,,,,,Soil only,Y,,
44,2,https://doi.org/10.1016/j.scitotenv.2018.08.306,,David Arguello,Eduardo Chavez ,2019,Ecuador,Nation wide,6,c,,,Field study,0,15,,,,,6.8,19.1,1.03,0.54,Aqua regia,,,,,,,,,,,,,Acid,1.12,,,,,,,,,,Soil and bean,Y,Y,
